# 中央・総武: 編成情報

-TypeName: JR東日本 E231 系電車 (500 番台)
都ミツA501: クハE231-501, モハE231-501, モハE230-501, サハE231-601, モハE231-502, モハE230-502, サハE231-501, モハE231-503, モハE230-503, クハE230-501
都ミツA502: クハE231-502, モハE231-504, モハE230-504, サハE231-602, モハE231-505, モハE230-505, サハE231-502, モハE231-506, モハE230-506, クハE230-502
都ミツA503: クハE231-503, モハE231-507, モハE230-507, サハE231-603, モハE231-508, モハE230-508, サハE231-503, モハE231-509, モハE230-509, クハE230-503
都ミツA504: クハE231-504, モハE231-510, モハE230-510, サハE231-604, モハE231-511, モハE230-511, サハE231-504, モハE231-512, モハE230-512, クハE230-504
都ミツA505: クハE231-505, モハE231-513, モハE230-513, サハE231-605, モハE231-514, モハE230-514, サハE231-505, モハE231-515, モハE230-515, クハE230-505
都ミツA506: クハE231-506, モハE231-516, モハE230-516, サハE231-606, モハE231-517, モハE230-517, サハE231-506, モハE231-518, モハE230-518, クハE230-506
都ミツA507: クハE231-507, モハE231-519, モハE230-519, サハE231-607, モハE231-520, モハE230-520, サハE231-507, モハE231-521, モハE230-521, クハE230-507
都ミツA508: クハE231-508, モハE231-522, モハE230-522, サハE231-608, モハE231-523, モハE230-523, サハE231-508, モハE231-524, モハE230-524, クハE230-508
都ミツA509: クハE231-509, モハE231-525, モハE230-525, サハE231-609, モハE231-526, モハE230-526, サハE231-509, モハE231-527, モハE230-527, クハE230-509
都ミツA510: クハE231-510, モハE231-528, モハE230-528, サハE231-610, モハE231-529, モハE230-529, サハE231-510, モハE231-530, モハE230-530, クハE230-510
都ミツA511: クハE231-511, モハE231-531, モハE230-531, サハE231-611, モハE231-532, モハE230-532, サハE231-511, モハE231-533, モハE230-533, クハE230-511
都ミツA512: クハE231-512, モハE231-534, モハE230-534, サハE231-612, モハE231-535, モハE230-535, サハE231-512, モハE231-536, モハE230-536, クハE230-512
都ミツA513: クハE231-513, モハE231-537, モハE230-537, サハE231-613, モハE231-538, モハE230-538, サハE231-513, モハE231-539, モハE230-539, クハE230-513
都ミツA514: クハE231-514, モハE231-540, モハE230-540, サハE231-614, モハE231-541, モハE230-541, サハE231-514, モハE231-542, モハE230-542, クハE230-514
都ミツA515: クハE231-515, モハE231-543, モハE230-543, サハE231-615, モハE231-544, モハE230-544, サハE231-515, モハE231-545, モハE230-545, クハE230-515
都ミツA516: クハE231-516, モハE231-546, モハE230-546, サハE231-616, モハE231-547, モハE230-547, サハE231-516, モハE231-548, モハE230-548, クハE230-516
都ミツA517: クハE231-517, モハE231-549, モハE230-549, サハE231-617, モハE231-550, モハE230-550, サハE231-517, モハE231-551, モハE230-551, クハE230-517
都ミツA518: クハE231-518, モハE231-552, モハE230-552, サハE231-618, モハE231-553, モハE230-553, サハE231-518, モハE231-554, モハE230-554, クハE230-518
都ミツA519: クハE231-519, モハE231-555, モハE230-555, サハE231-619, モハE231-556, モハE230-556, サハE231-519, モハE231-557, モハE230-557, クハE230-519
都ミツA520: クハE231-520, モハE231-558, モハE230-558, サハE231-620, モハE231-559, モハE230-559, サハE231-520, モハE231-560, モハE230-560, クハE230-520
都ミツA521: クハE231-521, モハE231-561, モハE230-561, サハE231-621, モハE231-562, モハE230-562, サハE231-521, モハE231-563, モハE230-563, クハE230-521
都ミツA522: クハE231-522, モハE231-564, モハE230-564, サハE231-622, モハE231-565, モハE230-565, サハE231-522, モハE231-566, モハE230-566, クハE230-522
都ミツA523: クハE231-523, モハE231-567, モハE230-567, サハE231-623, モハE231-568, モハE230-568, サハE231-523, モハE231-569, モハE230-569, クハE230-523
都ミツA524: クハE231-524, モハE231-570, モハE230-570, サハE231-624, モハE231-571, モハE230-571, サハE231-524, モハE231-572, モハE230-572, クハE230-524
都ミツA525: クハE231-525, モハE231-573, モハE230-573, サハE231-625, モハE231-574, モハE230-574, サハE231-525, モハE231-575, モハE230-575, クハE230-525
都ミツA526: クハE231-526, モハE231-576, モハE230-576, サハE231-626, モハE231-577, モハE230-577, サハE231-526, モハE231-578, モハE230-578, クハE230-526
都ミツA527: クハE231-527, モハE231-579, モハE230-579, サハE231-627, モハE231-580, モハE230-580, サハE231-527, モハE231-581, モハE230-581, クハE230-527
都ミツA528: クハE231-528, モハE231-582, モハE230-582, サハE231-628, モハE231-583, モハE230-583, サハE231-528, モハE231-584, モハE230-584, クハE230-528
都ミツA529: クハE231-529, モハE231-585, モハE230-585, サハE231-629, モハE231-586, モハE230-586, サハE231-529, モハE231-587, モハE230-587, クハE230-529
都ミツA530: クハE231-530, モハE231-588, モハE230-588, サハE231-630, モハE231-589, モハE230-589, サハE231-530, モハE231-590, モハE230-590, クハE230-530
都ミツA531: クハE231-531, モハE231-591, モハE230-591, サハE231-631, モハE231-592, モハE230-592, サハE231-531, モハE231-593, モハE230-593, クハE230-531
都ミツA532: クハE231-532, モハE231-594, モハE230-594, サハE231-632, モハE231-595, モハE230-595, サハE231-532, モハE231-596, モハE230-596, クハE230-532
都ミツA533: クハE231-533, モハE231-597, モハE230-597, サハE231-633, モハE231-598, モハE230-598, サハE231-533, モハE231-599, モハE230-599, クハE230-533
都ミツA534: クハE231-534, モハE231-600, モハE230-600, サハE231-634, モハE231-601, モハE230-601, サハE231-534, モハE231-602, モハE230-602, クハE230-534
都ミツA535: クハE231-535, モハE231-603, モハE230-603, サハE231-635, モハE231-604, モハE230-604, サハE231-535, モハE231-605, モハE230-605, クハE230-535
都ミツA536: クハE231-536, モハE231-606, モハE230-606, サハE231-636, モハE231-607, モハE230-607, サハE231-536, モハE231-608, モハE230-608, クハE230-536
都ミツA537: クハE231-537, モハE231-609, モハE230-609, サハE231-637, モハE231-610, モハE230-610, サハE231-537, モハE231-611, モハE230-611, クハE230-537
