# 京浜東北: 編成情報

-TypeName: JR東日本 E233 系電車 (1000 番台)
宮サイ101: クハE233-1001, サハE233-1201, モハE233-1401, モハE232-1401, サハE233-1001, モハE233-1001, モハE232-1001, モハE233-1201, モハE232-1201, クハE232-1001
宮サイ102: クハE233-1002, サハE233-1202, モハE233-1402, モハE232-1402, サハE233-1002, モハE233-1002, モハE232-1002, モハE233-1202, モハE232-1202, クハE232-1002
宮サイ103: クハE233-1003, サハE233-1203, モハE233-1403, モハE232-1403, サハE233-1003, モハE233-1003, モハE232-1003, モハE233-1203, モハE232-1203, クハE232-1003
宮サイ104: クハE233-1004, サハE233-1204, モハE233-1404, モハE232-1404, サハE233-1004, モハE233-1004, モハE232-1004, モハE233-1204, モハE232-1204, クハE232-1004
宮サイ105: クハE233-1005, サハE233-1205, モハE233-1405, モハE232-1405, サハE233-1005, モハE233-1005, モハE232-1005, モハE233-1205, モハE232-1205, クハE232-1005
宮サイ106: クハE233-1006, サハE233-1206, モハE233-1406, モハE232-1406, サハE233-1006, モハE233-1006, モハE232-1006, モハE233-1206, モハE232-1206, クハE232-1006
宮サイ107: クハE233-1007, サハE233-1207, モハE233-1407, モハE232-1407, サハE233-1007, モハE233-1007, モハE232-1007, モハE233-1207, モハE232-1207, クハE232-1007
宮サイ108: クハE233-1008, サハE233-1208, モハE233-1408, モハE232-1408, サハE233-1008, モハE233-1008, モハE232-1008, モハE233-1208, モハE232-1208, クハE232-1008
宮サイ109: クハE233-1009, サハE233-1209, モハE233-1409, モハE232-1409, サハE233-1009, モハE233-1009, モハE232-1009, モハE233-1209, モハE232-1209, クハE232-1009
宮サイ110: クハE233-1010, サハE233-1210, モハE233-1410, モハE232-1410, サハE233-1010, モハE233-1010, モハE232-1010, モハE233-1210, モハE232-1210, クハE232-1010
宮サイ111: クハE233-1011, サハE233-1211, モハE233-1411, モハE232-1411, サハE233-1011, モハE233-1011, モハE232-1011, モハE233-1211, モハE232-1211, クハE232-1011
宮サイ112: クハE233-1012, サハE233-1212, モハE233-1412, モハE232-1412, サハE233-1012, モハE233-1012, モハE232-1012, モハE233-1212, モハE232-1212, クハE232-1012
宮サイ113: クハE233-1013, サハE233-1213, モハE233-1413, モハE232-1413, サハE233-1013, モハE233-1013, モハE232-1013, モハE233-1213, モハE232-1213, クハE232-1013
宮サイ114: クハE233-1014, サハE233-1214, モハE233-1414, モハE232-1414, サハE233-1014, モハE233-1014, モハE232-1014, モハE233-1214, モハE232-1214, クハE232-1014
宮サイ115: クハE233-1015, サハE233-1215, モハE233-1415, モハE232-1415, サハE233-1015, モハE233-1015, モハE232-1015, モハE233-1215, モハE232-1215, クハE232-1015
宮サイ116: クハE233-1016, サハE233-1216, モハE233-1416, モハE232-1416, サハE233-1016, モハE233-1016, モハE232-1016, モハE233-1216, モハE232-1216, クハE232-1016
宮サイ117: クハE233-1017, サハE233-1217, モハE233-1417, モハE232-1417, サハE233-1017, モハE233-1017, モハE232-1017, モハE233-1217, モハE232-1217, クハE232-1017
宮サイ118: クハE233-1018, サハE233-1218, モハE233-1418, モハE232-1418, サハE233-1018, モハE233-1018, モハE232-1018, モハE233-1218, モハE232-1218, クハE232-1018
