# 武蔵野: 編成情報

-TypeName: JR東日本 209 系電車 (500 番台)
都ケヨM71: クハ209-513, モハ209-525, モハ208-525, サハ209-550, サハ209-549, モハ209-526, モハ208-526, クハ208-513
都ケヨM72: クハ209-514, モハ209-527, モハ208-527, サハ209-554, サハ209-553, モハ209-528, モハ208-528, クハ208-514
都ケヨM73: クハ209-515, モハ209-529, モハ208-529, サハ209-558, サハ209-557, モハ209-530, モハ208-530, クハ208-515
都ケヨM74: クハ209-516, モハ209-531, モハ208-531, サハ209-562, サハ209-561, モハ209-532, モハ208-532, クハ208-516
都ケヨM75: クハ209-512, モハ209-523, モハ208-523, サハ209-546, サハ209-545, モハ209-524, モハ208-524, クハ208-512
都ケヨM76: クハ209-510, モハ209-519, モハ208-519, サハ209-538, サハ209-537, モハ209-520, モハ208-520, クハ208-510
都ケヨM77: クハ209-511, モハ209-521, モハ208-521, サハ209-542, サハ209-541, モハ209-522, モハ208-522, クハ208-511
都ケヨM81: クハ209-506, モハ209-511, モハ208-511, サハ209-522, サハ209-521, モハ209-512, モハ208-512, クハ208-506
都ケヨM82: クハ209-507, モハ209-513, モハ208-513, サハ209-526, サハ209-525, モハ209-514, モハ208-514, クハ208-507
都ケヨM83: クハ209-509, モハ209-517, モハ208-517, サハ209-534, サハ209-533, モハ209-518, モハ208-518, クハ208-509
都ケヨM84: クハ209-508, モハ209-515, モハ208-515, サハ209-530, サハ209-529, モハ209-516, モハ208-516, クハ208-508

-TypeName: JR東日本 E231 系電車 (0 番台)
都ケヨMU1: クハE231-901, モハE231-901, モハE230-901, サハE231-901, サハE231-903, モハE231-902, モハE230-902, クハE230-901
都ケヨMU2: クハE231-22, モハE231-43, モハE230-43, サハE231-14, サハE231-64, モハE231-44, モハE230-44, クハE230-22
都ケヨMU3: クハE231-23, モハE231-45, モハE230-45, サハE231-68, サハE231-69, モハE231-46, モハE230-46, クハE230-23
都ケヨMU4: クハE231-24, モハE231-47, モハE230-47, サハE231-71, サハE231-72, モハE231-48, モハE230-48, クハE230-24
都ケヨMU5: クハE231-28, モハE231-55, モハE230-55, サハE231-83, サハE231-84, モハE231-56, モハE230-56, クハE230-28
都ケヨMU6: クハE231-29, モハE231-57, モハE230-57, サハE231-86, サハE231-87, モハE231-58, モハE230-58, クハE230-29
都ケヨMU7: クハE231-30, モハE231-59, モハE230-59, サハE231-89, サハE231-90, モハE231-60, モハE230-60, クハE230-30
都ケヨMU8: クハE231-35, モハE231-69, モハE230-69, サハE231-104, サハE231-105, モハE231-70, モハE230-70, クハE230-35
都ケヨMU9: クハE231-36, モハE231-71, モハE230-71, サハE231-107, サハE231-108, モハE231-72, モハE230-72, クハE230-36
都ケヨMU10: クハE231-32, モハE231-63, モハE230-63, サハE231-95, サハE231-96, モハE231-64, モハE230-64, クハE230-32
都ケヨMU11: クハE231-57, モハE231-106, モハE230-106, サハE231-163, サハE231-164, モハE231-107, モハE230-107, クハE230-57
都ケヨMU12: クハE231-25, モハE231-49, モハE230-49, サハE231-74, サハE231-75, モハE231-50, モハE230-50, クハE230-25
都ケヨMU13: クハE231-33, モハE231-65, モハE230-65, サハE231-98, サハE231-99, モハE231-66, モハE230-66, クハE230-33
都ケヨMU14: クハE231-40, モハE231-79, モハE230-79, サハE231-119, サハE231-120, モハE231-80, モハE230-80, クハE230-40
都ケヨMU15: クハE231-42, モハE231-83, モハE230-83, サハE231-125, サハE231-126, モハE231-84, モハE230-84, クハE230-42
都ケヨMU16: クハE231-37, モハE231-73, モハE230-73, サハE231-110, サハE231-111, モハE231-74, モハE230-74, クハE230-37
都ケヨMU17: クハE231-39, モハE231-77, モハE230-77, サハE231-116, サハE231-117, モハE231-78, モハE230-78, クハE230-39
都ケヨMU18: クハE231-41, モハE231-81, モハE230-81, サハE231-122, サハE231-123, モハE231-82, モハE230-82, クハE230-41
都ケヨMU19: クハE231-31, モハE231-61, モハE230-61, サハE231-92, サハE231-93, モハE231-62, モハE230-62, クハE230-31
都ケヨMU20: クハE231-34, モハE231-67, モハE230-67, サハE231-101, サハE231-102, モハE231-68, モハE230-68, クハE230-34
都ケヨMU21: クハE231-38, モハE231-75, モハE230-75, サハE231-113, サハE231-114, モハE231-76, モハE230-76, クハE230-38
都ケヨMU22: クハE231-20, モハE231-39, モハE230-39, サハE231-65, サハE231-59, モハE231-40, モハE230-40, クハE230-20
都ケヨMU31: クハE231-9, モハE231-17, モハE230-17, サハE231-26, サハE231-27, モハE231-18, モハE230-18, クハE230-9
都ケヨMU32: クハE231-13, モハE231-25, モハE230-25, サハE231-38, サハE231-39, モハE231-26, モハE230-26, クハE230-13
都ケヨMU33: クハE231-18, モハE231-35, モハE230-35, サハE231-53, サハE231-54, モハE231-36, モハE230-36, クハE230-18
