# 埼京: 編成情報

#-TypeName: JR東日本 E233 系電車 (7000 番台)
都ハエ101: クハE233-7001, モハE233-7401, モハE232-7401, サハE233-7201, サハE233-7001, モハE233-7001, モハE232-7001, モハE233-7201, モハE232-7201, クハE232-7001
都ハエ102: クハE233-7002, モハE233-7402, モハE232-7402, サハE233-7202, サハE233-7002, モハE233-7002, モハE232-7002, モハE233-7202, モハE232-7202, クハE232-7002
都ハエ103: クハE233-7003, モハE233-7403, モハE232-7403, サハE233-7203, サハE233-7003, モハE233-7003, モハE232-7003, モハE233-7203, モハE232-7203, クハE232-7003
都ハエ104: クハE233-7004, モハE233-7404, モハE232-7404, サハE233-7204, サハE233-7004, モハE233-7004, モハE232-7004, モハE233-7204, モハE232-7204, クハE232-7004
都ハエ105: クハE233-7005, モハE233-7405, モハE232-7405, サハE233-7205, サハE233-7005, モハE233-7005, モハE232-7005, モハE233-7205, モハE232-7205, クハE232-7005
都ハエ106: クハE233-7006, モハE233-7406, モハE232-7406, サハE233-7206, サハE233-7006, モハE233-7006, モハE232-7006, モハE233-7206, モハE232-7206, クハE232-7006
都ハエ107: クハE233-7007, モハE233-7407, モハE232-7407, サハE233-7207, サハE233-7007, モハE233-7007, モハE232-7007, モハE233-7207, モハE232-7207, クハE232-7007
都ハエ108: クハE233-7008, モハE233-7408, モハE232-7408, サハE233-7208, サハE233-7008, モハE233-7008, モハE232-7008, モハE233-7208, モハE232-7208, クハE232-7008
都ハエ109: クハE233-7009, モハE233-7409, モハE232-7409, サハE233-7209, サハE233-7009, モハE233-7009, モハE232-7009, モハE233-7209, モハE232-7209, クハE232-7009
都ハエ110: クハE233-7010, モハE233-7410, モハE232-7410, サハE233-7210, サハE233-7010, モハE233-7010, モハE232-7010, モハE233-7210, モハE232-7210, クハE232-7010
都ハエ111: クハE233-7011, モハE233-7411, モハE232-7411, サハE233-7211, サハE233-7011, モハE233-7011, モハE232-7011, モハE233-7211, モハE232-7211, クハE232-7011
都ハエ112: クハE233-7012, モハE233-7412, モハE232-7412, サハE233-7212, サハE233-7012, モハE233-7012, モハE232-7012, モハE233-7212, モハE232-7212, クハE232-7012
都ハエ113: クハE233-7013, モハE233-7413, モハE232-7413, サハE233-7213, サハE233-7013, モハE233-7013, モハE232-7013, モハE233-7213, モハE232-7213, クハE232-7013
都ハエ114: クハE233-7014, モハE233-7414, モハE232-7414, サハE233-7214, サハE233-7014, モハE233-7014, モハE232-7014, モハE233-7214, モハE232-7214, クハE232-7014
都ハエ115: クハE233-7015, モハE233-7415, モハE232-7415, サハE233-7215, サハE233-7015, モハE233-7015, モハE232-7015, モハE233-7215, モハE232-7215, クハE232-7015
都ハエ116: クハE233-7016, モハE233-7416, モハE232-7416, サハE233-7216, サハE233-7016, モハE233-7016, モハE232-7016, モハE233-7216, モハE232-7216, クハE232-7016
都ハエ117: クハE233-7017, モハE233-7417, モハE232-7417, サハE233-7217, サハE233-7017, モハE233-7017, モハE232-7017, モハE233-7217, モハE232-7217, クハE232-7017
