# 山手: 編成情報

-TypeName: JR東日本 E235 系電車 (0 番台)
東トウ01: クハE234-1, モハE234-3, モハE235-3, サハE235-1, モハE234-2, モハE235-2, サハE234-1, モハE234-1, モハE235-1, サハE235-4620, クハE235-1
東トウ02: クハE234-2, モハE234-6, モハE235-6, サハE235-2, モハE234-5, モハE235-5, サハE234-2, モハE234-4, モハE235-4, サハE235-4640, クハE235-2
東トウ03: クハE234-3, モハE234-9, モハE235-9, サハE235-3, モハE234-8, モハE235-8, サハE234-3, モハE234-7, モハE235-7, サハE235-4603, クハE235-3
東トウ04: クハE234-4, モハE234-12, モハE235-12, サハE235-4, モハE234-11, モハE235-11, サハE234-4, モハE234-10, モハE235-10, サハE235-501, クハE235-4
東トウ05: クハE234-5, モハE234-15, モハE235-15, サハE235-5, モハE234-14, モハE235-14, サハE234-5, モハE234-13, モハE235-13, サハE235-502, クハE235-5
東トウ06: クハE234-6, モハE234-18, モハE235-18, サハE235-6, モハE234-17, モハE235-17, サハE234-6, モハE234-16, モハE235-16, サハE235-4607, クハE235-6
東トウ07: クハE234-7, モハE234-21, モハE235-21, サハE235-7, モハE234-20, モハE235-20, サハE234-7, モハE234-19, モハE235-19, サハE235-4608, クハE235-7
東トウ08: クハE234-8, モハE234-24, モハE235-24, サハE235-8, モハE234-23, モハE235-23, サハE234-8, モハE234-22, モハE235-22, サハE235-4609, クハE235-8
東トウ09: クハE234-9, モハE234-27, モハE235-27, サハE235-9, モハE234-26, モハE235-26, サハE234-9, モハE234-25, モハE235-25, サハE235-4610, クハE235-9
東トウ10: クハE234-10, モハE234-30, モハE235-30, サハE235-10, モハE234-29, モハE235-29, サハE234-10, モハE234-28, モハE235-28, サハE235-4613, クハE235-10
東トウ11: クハE234-11, モハE234-33, モハE235-33, サハE235-11, モハE234-32, モハE235-32, サハE234-11, モハE234-31, モハE235-31, サハE235-4614, クハE235-11
東トウ12: クハE234-12, モハE234-36, モハE235-36, サハE235-12, モハE234-35, モハE235-35, サハE234-12, モハE234-34, モハE235-34, サハE235-4611, クハE235-12
東トウ13: クハE234-13, モハE234-39, モハE235-39, サハE235-13, モハE234-38, モハE235-38, サハE234-13, モハE234-37, モハE235-37, サハE235-4615, クハE235-13
東トウ14: クハE234-14, モハE234-42, モハE235-42, サハE235-14, モハE234-41, モハE235-41, サハE234-14, モハE234-40, モハE235-40, サハE235-4616, クハE235-14
東トウ15: クハE234-15, モハE234-45, モハE235-45, サハE235-15, モハE234-44, モハE235-44, サハE234-15, モハE234-43, モハE235-43, サハE235-4617, クハE235-15
東トウ16: クハE234-16, モハE234-48, モハE235-48, サハE235-16, モハE234-47, モハE235-47, サハE234-16, モハE234-46, モハE235-46, サハE235-4618, クハE235-16
東トウ17: クハE234-17, モハE234-51, モハE235-51, サハE235-17, モハE234-50, モハE235-50, サハE234-17, モハE234-49, モハE235-49, サハE235-4619, クハE235-17
東トウ18: クハE234-18, モハE234-54, モハE235-54, サハE235-18, モハE234-53, モハE235-53, サハE234-18, モハE234-52, モハE235-52, サハE235-4629, クハE235-18
東トウ19: クハE234-19, モハE234-57, モハE235-57, サハE235-19, モハE234-56, モハE235-56, サハE234-19, モハE234-55, モハE235-55, クハE235-19
東トウ20: クハE234-20, モハE234-60, モハE235-60, サハE235-20, モハE234-59, モハE235-59, サハE234-20, モハE234-58, モハE235-58, クハE235-20
東トウ21: クハE234-21, モハE234-63, モハE235-63, サハE235-21, モハE234-62, モハE235-62, サハE234-21, モハE234-61, モハE235-61, クハE235-21
東トウ22: クハE234-22, モハE234-66, モハE235-66, サハE235-22, モハE234-65, モハE235-65, サハE234-22, モハE234-64, モハE235-64, クハE235-22
東トウ23: クハE234-23, モハE234-69, モハE235-69, サハE235-23, モハE234-68, モハE235-68, サハE234-23, モハE234-67, モハE235-67, クハE235-23
東トウ24: クハE234-24, モハE234-72, モハE235-72, サハE235-24, モハE234-71, モハE235-71, サハE234-24, モハE234-70, モハE235-70, クハE235-24
東トウ25: クハE234-25, モハE234-75, モハE235-75, サハE235-25, モハE234-74, モハE235-74, サハE234-25, モハE234-73, モハE235-73, クハE235-25
東トウ26: クハE234-26, モハE234-78, モハE235-78, サハE235-26, モハE234-77, モハE235-77, サハE234-26, モハE234-76, モハE235-76, クハE235-26
東トウ27: クハE234-27, モハE234-81, モハE235-81, サハE235-27, モハE234-80, モハE235-80, サハE234-27, モハE234-79, モハE235-79, クハE235-27
東トウ28: クハE234-28, モハE234-84, モハE235-84, サハE235-28, モハE234-83, モハE235-83, サハE234-28, モハE234-82, モハE235-82, クハE235-28
東トウ29: クハE234-29, モハE234-87, モハE235-87, サハE235-29, モハE234-86, モハE235-86, サハE234-29, モハE234-85, モハE235-85, クハE235-29
東トウ30: クハE234-30, モハE234-90, モハE235-90, サハE235-30, モハE234-89, モハE235-89, サハE234-30, モハE234-88, モハE235-88, クハE235-30
東トウ31: クハE234-31, モハE234-93, モハE235-93, サハE235-31, モハE234-92, モハE235-92, サハE234-31, モハE234-91, モハE235-91, クハE235-31
東トウ32: クハE234-32, モハE234-96, モハE235-96, サハE235-32, モハE234-95, モハE235-95, サハE234-32, モハE234-94, モハE235-94, クハE235-32
東トウ33: クハE234-33, モハE234-99, モハE235-99, サハE235-33, モハE234-98, モハE235-98, サハE234-33, モハE234-97, モハE235-97, クハE235-33
東トウ34: クハE234-34, モハE234-102, モハE235-102, サハE235-34, モハE234-101, モハE235-101, サハE234-34, モハE234-100, モハE235-100, クハE235-34
東トウ35: クハE234-35, モハE234-105, モハE235-105, サハE235-35, モハE234-104, モハE235-104, サハE234-35, モハE234-103, モハE235-103, クハE235-35
東トウ36: クハE234-36, モハE234-108, モハE235-108, サハE235-36, モハE234-107, モハE235-107, サハE234-36, モハE234-106, モハE235-106, クハE235-36
東トウ37: クハE234-37, モハE234-111, モハE235-111, サハE235-37, モハE234-110, モハE235-110, サハE234-37, モハE234-109, モハE235-109, クハE235-37
東トウ38: クハE234-38, モハE234-114, モハE235-114, サハE235-38, モハE234-113, モハE235-113, サハE234-38, モハE234-112, モハE235-112, クハE235-38
東トウ39: クハE234-39, モハE234-117, モハE235-117, サハE235-39, モハE234-116, モハE235-116, サハE234-39, モハE234-115, モハE235-115, クハE235-39
東トウ40: クハE234-40, モハE234-120, モハE235-120, サハE235-40, モハE234-119, モハE235-119, サハE234-40, モハE234-118, モハE235-118, クハE235-40
