# 新京成: 編成情報

-TypeName: 新京成電鉄 8800 形電車
# for (var i = 8801; i <= 8812; i++) Console.WriteLine("{0}: {0}-1, {0}-2, {0}-3, {0}-4, {0}-5, {0}-6", i);
8801: 8801-1, 8801-2, 8801-3, 8801-4, 8801-5, 8801-6
8802: 8802-1, 8802-2, 8802-3, 8802-4, 8802-5, 8802-6
8803: 8803-1, 8803-2, 8803-3, 8803-4, 8803-5, 8803-6
8804: 8804-1, 8804-2, 8804-3, 8804-4, 8804-5, 8804-6
8805: 8805-1, 8805-2, 8805-3, 8805-4, 8805-5, 8805-6
8806: 8806-1, 8806-2, 8806-3, 8806-4, 8806-5, 8806-6
8807: 8807-1, 8807-2, 8807-3, 8807-4, 8807-5, 8807-6
8808: 8808-1, 8808-2, 8808-3, 8808-4, 8808-5, 8808-6
8809: 8809-1, 8809-2, 8809-3, 8809-4, 8809-5, 8809-6
8810: 8810-1, 8810-2, 8810-3, 8810-4, 8810-5, 8810-6
8811: 8811-1, 8811-2, 8811-3, 8811-4, 8811-5, 8811-6
8812: 8812-1, 8812-2, 8812-3, 8812-4, 8812-5, 8812-6
8813: 8813-1, 8813-2, 8813-3, 8813-4, 8813-5, 8813-6
8814: 8814-1, 8814-2, 8814-3, 8814-4, 8814-5, 8814-6
8815: 8815-1, 8815-2, 8815-3, 8815-4, 8815-5, 8815-6
8816: 8816-1, 8816-2, 8816-3, 8816-4, 8816-5, 8816-6

-TypeName: 新京成電鉄 8900 形電車
# for (var i = 891; i <= 895; i++) Console.WriteLine($"{i * 10 + 8}: {i * 10 + 1}, {i * 10 + 2}, {i * 10 + 3}, {i * 10 + 6}, {i * 10 + 7}, {i * 10 + 8}");
8918: 8911, 8912, 8913, 8916, 8917, 8918
8928: 8921, 8922, 8923, 8926, 8927, 8928
8938: 8931, 8932, 8933, 8936, 8937, 8938
8948: 8941, 8942, 8943, 8946, 8947, 8948
8958: 8951, 8952, 8953, 8956, 8957, 8958

-TypeName: 新京成電鉄 N800 形電車
# for (var i = 81; i <= 88; i++) Console.WriteLine($"N{i * 10 + 8}: N{i * 10 + 1}, N{i * 10 + 2}, N{i * 10 + 3}, N{i * 10 + 6}, N{i * 10 + 7}, N{i * 10 + 8}");
N818: N811, N812, N813, N816, N817, N818
N828: N821, N822, N823, N826, N827, N828
N838: N831, N832, N833, N836, N837, N838
N848: N841, N842, N843, N846, N847, N848
N858: N851, N852, N853, N856, N857, N858

-TypeName: 新京成電鉄 80000 形電車
80016: 80011, 80012, 80013, 80014, 80015, 80016
80026: 80021, 80022, 80023, 80024, 80025, 80026
