# 都営浅草線: 編成情報

-TypeName: 東京都交通局 5300 形電車
# for (var i = 5301; i <= 5327; i++) Console.WriteLine("{0}: {0}-1, {0}-2, {0}-3, {0}-4, {0}-5, {0}-6, {0}-7, {0}-8", i);
5301: 5301-1, 5301-2, 5301-3, 5301-4, 5301-5, 5301-6, 5301-7, 5301-8
5302: 5302-1, 5302-2, 5302-3, 5302-4, 5302-5, 5302-6, 5302-7, 5302-8
5303: 5303-1, 5303-2, 5303-3, 5303-4, 5303-5, 5303-6, 5303-7, 5303-8
5304: 5304-1, 5304-2, 5304-3, 5304-4, 5304-5, 5304-6, 5304-7, 5304-8
5305: 5305-1, 5305-2, 5305-3, 5305-4, 5305-5, 5305-6, 5305-7, 5305-8
5306: 5306-1, 5306-2, 5306-3, 5306-4, 5306-5, 5306-6, 5306-7, 5306-8
5307: 5307-1, 5307-2, 5307-3, 5307-4, 5307-5, 5307-6, 5307-7, 5307-8
5308: 5308-1, 5308-2, 5308-3, 5308-4, 5308-5, 5308-6, 5308-7, 5308-8
5309: 5309-1, 5309-2, 5309-3, 5309-4, 5309-5, 5309-6, 5309-7, 5309-8
5310: 5310-1, 5310-2, 5310-3, 5310-4, 5310-5, 5310-6, 5310-7, 5310-8
5311: 5311-1, 5311-2, 5311-3, 5311-4, 5311-5, 5311-6, 5311-7, 5311-8
5312: 5312-1, 5312-2, 5312-3, 5312-4, 5312-5, 5312-6, 5312-7, 5312-8
5313: 5313-1, 5313-2, 5313-3, 5313-4, 5313-5, 5313-6, 5313-7, 5313-8
5314: 5314-1, 5314-2, 5314-3, 5314-4, 5314-5, 5314-6, 5314-7, 5314-8
5315: 5315-1, 5315-2, 5315-3, 5315-4, 5315-5, 5315-6, 5315-7, 5315-8
5316: 5316-1, 5316-2, 5316-3, 5316-4, 5316-5, 5316-6, 5316-7, 5316-8
5317: 5317-1, 5317-2, 5317-3, 5317-4, 5317-5, 5317-6, 5317-7, 5317-8
5318: 5318-1, 5318-2, 5318-3, 5318-4, 5318-5, 5318-6, 5318-7, 5318-8
5319: 5319-1, 5319-2, 5319-3, 5319-4, 5319-5, 5319-6, 5319-7, 5319-8
5320: 5320-1, 5320-2, 5320-3, 5320-4, 5320-5, 5320-6, 5320-7, 5320-8
5321: 5321-1, 5321-2, 5321-3, 5321-4, 5321-5, 5321-6, 5321-7, 5321-8
5322: 5322-1, 5322-2, 5322-3, 5322-4, 5322-5, 5322-6, 5322-7, 5322-8
5323: 5323-1, 5323-2, 5323-3, 5323-4, 5323-5, 5323-6, 5323-7, 5323-8
5324: 5324-1, 5324-2, 5324-3, 5324-4, 5324-5, 5324-6, 5324-7, 5324-8
5325: 5325-1, 5325-2, 5325-3, 5325-4, 5325-5, 5325-6, 5325-7, 5325-8
5326: 5326-1, 5326-2, 5326-3, 5326-4, 5326-5, 5326-6, 5326-7, 5326-8
5327: 5327-1, 5327-2, 5327-3, 5327-4, 5327-5, 5327-6, 5327-7, 5327-8

-TypeName: 東京都交通局 5500 形電車
# for (var i = 5501; i <= 5527; i++) Console.WriteLine("{0}: {0}-1, {0}-2, {0}-3, {0}-4, {0}-5, {0}-6, {0}-7, {0}-8", i);
5501: 5501-1, 5501-2, 5501-3, 5501-4, 5501-5, 5501-6, 5501-7, 5501-8
5502: 5502-1, 5502-2, 5502-3, 5502-4, 5502-5, 5502-6, 5502-7, 5502-8
5503: 5503-1, 5503-2, 5503-3, 5503-4, 5503-5, 5503-6, 5503-7, 5503-8
5504: 5504-1, 5504-2, 5504-3, 5504-4, 5504-5, 5504-6, 5504-7, 5504-8
5505: 5505-1, 5505-2, 5505-3, 5505-4, 5505-5, 5505-6, 5505-7, 5505-8
5506: 5506-1, 5506-2, 5506-3, 5506-4, 5506-5, 5506-6, 5506-7, 5506-8
5507: 5507-1, 5507-2, 5507-3, 5507-4, 5507-5, 5507-6, 5507-7, 5507-8
5508: 5508-1, 5508-2, 5508-3, 5508-4, 5508-5, 5508-6, 5508-7, 5508-8
5509: 5509-1, 5509-2, 5509-3, 5509-4, 5509-5, 5509-6, 5509-7, 5509-8
5510: 5510-1, 5510-2, 5510-3, 5510-4, 5510-5, 5510-6, 5510-7, 5510-8
5511: 5511-1, 5511-2, 5511-3, 5511-4, 5511-5, 5511-6, 5511-7, 5511-8
5512: 5512-1, 5512-2, 5512-3, 5512-4, 5512-5, 5512-6, 5512-7, 5512-8
5513: 5513-1, 5513-2, 5513-3, 5513-4, 5513-5, 5513-6, 5513-7, 5513-8
5514: 5514-1, 5514-2, 5514-3, 5514-4, 5514-5, 5514-6, 5514-7, 5514-8
5515: 5515-1, 5515-2, 5515-3, 5515-4, 5515-5, 5515-6, 5515-7, 5515-8
5516: 5516-1, 5516-2, 5516-3, 5516-4, 5516-5, 5516-6, 5516-7, 5516-8
5517: 5517-1, 5517-2, 5517-3, 5517-4, 5517-5, 5517-6, 5517-7, 5517-8
5518: 5518-1, 5518-2, 5518-3, 5518-4, 5518-5, 5518-6, 5518-7, 5518-8
5519: 5519-1, 5519-2, 5519-3, 5519-4, 5519-5, 5519-6, 5519-7, 5519-8
5520: 5520-1, 5520-2, 5520-3, 5520-4, 5520-5, 5520-6, 5520-7, 5520-8
5521: 5521-1, 5521-2, 5521-3, 5521-4, 5521-5, 5521-6, 5521-7, 5521-8
5522: 5522-1, 5522-2, 5522-3, 5522-4, 5522-5, 5522-6, 5522-7, 5522-8
5523: 5523-1, 5523-2, 5523-3, 5523-4, 5523-5, 5523-6, 5523-7, 5523-8
5524: 5524-1, 5524-2, 5524-3, 5524-4, 5524-5, 5524-6, 5524-7, 5524-8
5525: 5525-1, 5525-2, 5525-3, 5525-4, 5525-5, 5525-6, 5525-7, 5525-8
5526: 5526-1, 5526-2, 5526-3, 5526-4, 5526-5, 5526-6, 5526-7, 5526-8
5527: 5527-1, 5527-2, 5527-3, 5527-4, 5527-5, 5527-6, 5527-7, 5527-8
