# 都営新宿線: 編成情報

-TypeName: 東京都交通局 10-300 形電車
# for ($i = 45; $i -le 72; $i++) { Write-Host ("10-" + ($i * 10) + ": 10-" + [String]::Join(", 10-", (($i * 10 + 0)..($i * 10 + 9)))) }
10-450: 10-450, 10-451, 10-452, 10-453, 10-454, 10-455, 10-456, 10-457, 10-458, 10-459
10-460: 10-460, 10-461, 10-462, 10-463, 10-464, 10-465, 10-466, 10-467, 10-468, 10-469
10-470: 10-470, 10-471, 10-472, 10-473, 10-474, 10-475, 10-476, 10-477, 10-478, 10-479
10-480: 10-480, 10-481, 10-482, 10-483, 10-484, 10-485, 10-486, 10-487, 10-488, 10-489
10-490: 10-490, 10-491, 10-492, 10-493, 10-494, 10-495, 10-496, 10-497, 10-498, 10-499
10-500: 10-500, 10-501, 10-502, 10-503, 10-504, 10-505, 10-506, 10-507, 10-508, 10-509
10-510: 10-510, 10-511, 10-512, 10-513, 10-514, 10-515, 10-516, 10-517, 10-518, 10-519
10-520: 10-520, 10-521, 10-522, 10-523, 10-524, 10-525, 10-526, 10-527, 10-528, 10-529
10-530: 10-530, 10-531, 10-532, 10-533, 10-534, 10-535, 10-536, 10-537, 10-538, 10-539
10-540: 10-540, 10-541, 10-542, 10-543, 10-544, 10-545, 10-546, 10-547, 10-548, 10-549
10-550: 10-550, 10-551, 10-552, 10-553, 10-554, 10-555, 10-556, 10-557, 10-558, 10-559
10-560: 10-560, 10-561, 10-562, 10-563, 10-564, 10-565, 10-566, 10-567, 10-568, 10-569
10-570: 10-570, 10-571, 10-572, 10-573, 10-574, 10-575, 10-576, 10-577, 10-578, 10-579
10-580: 10-580, 10-581, 10-582, 10-583, 10-584, 10-585, 10-586, 10-587, 10-588, 10-589
10-590: 10-590, 10-591, 10-592, 10-593, 10-594, 10-595, 10-596, 10-597, 10-598, 10-599
10-600: 10-600, 10-601, 10-602, 10-603, 10-604, 10-605, 10-606, 10-607, 10-608, 10-609
10-610: 10-610, 10-611, 10-612, 10-613, 10-614, 10-615, 10-616, 10-617, 10-618, 10-619
10-620: 10-620, 10-621, 10-622, 10-623, 10-624, 10-625, 10-626, 10-627, 10-628, 10-629
10-630: 10-630, 10-631, 10-632, 10-633, 10-634, 10-635, 10-636, 10-637, 10-638, 10-639
10-640: 10-640, 10-641, 10-642, 10-643, 10-644, 10-645, 10-646, 10-647, 10-648, 10-649
10-650: 10-650, 10-651, 10-652, 10-653, 10-654, 10-655, 10-656, 10-657, 10-658, 10-659
10-660: 10-660, 10-661, 10-662, 10-663, 10-664, 10-665, 10-666, 10-667, 10-668, 10-669
10-670: 10-670, 10-671, 10-672, 10-673, 10-674, 10-675, 10-676, 10-677, 10-678, 10-679
10-680: 10-680, 10-681, 10-682, 10-683, 10-684, 10-685, 10-686, 10-687, 10-688, 10-689
10-690: 10-690, 10-691, 10-692, 10-693, 10-694, 10-695, 10-696, 10-697, 10-698, 10-699
10-700: 10-700, 10-701, 10-702, 10-703, 10-704, 10-705, 10-706, 10-707, 10-708, 10-709
10-710: 10-710, 10-711, 10-712, 10-713, 10-714, 10-715, 10-716, 10-717, 10-718, 10-719
10-720: 10-720, 10-721, 10-722, 10-723, 10-724, 10-725, 10-726, 10-727, 10-728, 10-729
