# 半蔵門: 編成情報

-TypeName: 東京メトロ 8000 系電車
8101: 8101, 8201, 8301, 8401, 8501, 8601, 8701, 8801, 8901, 8001
8102: 8102, 8202, 8302, 8402, 8502, 8602, 8702, 8802, 8902, 8002
8103: 8103, 8203, 8303, 8403, 8503, 8603, 8703, 8803, 8903, 8003
8104: 8104, 8204, 8304, 8404, 8504, 8604, 8704, 8804, 8904, 8004
8105: 8105, 8205, 8305, 8405, 8505, 8605, 8705, 8805, 8905, 8005
8106: 8106, 8206, 8306, 8406, 8506, 8606, 8706, 8806, 8906, 8006
8107: 8107, 8207, 8307, 8407, 8507, 8607, 8707, 8807, 8907, 8007
8108: 8108, 8208, 8308, 8408, 8508, 8608, 8708, 8808, 8908, 8008
8109: 8109, 8209, 8309, 8409, 8509, 8609, 8709, 8809, 8909, 8009
8110: 8110, 8210, 8310, 8410, 8510, 8610, 8710, 8810, 8910, 8010
8111: 8111, 8211, 8311, 8411, 8511, 8611, 8711, 8811, 8911, 8011
8112: 8112, 8212, 8312, 8412, 8512, 8612, 8712, 8812, 8912, 8012
8113: 8113, 8213, 8313, 8413, 8513, 8613, 8713, 8813, 8913, 8013
8114: 8114, 8214, 8314, 8414, 8514, 8614, 8714, 8814, 8914, 8014
8115: 8115, 8215, 8315, 8415, 8515, 8615, 8715, 8815, 8915, 8015
8116: 8116, 8216, 8316, 8416, 8516, 8616, 8716, 8816, 8916, 8016
8117: 8117, 8217, 8317, 8417, 8517, 8617, 8717, 8817, 8917, 8017
8118: 8118, 8218, 8318, 8418, 8518, 8618, 8718, 8818, 8918, 8018

-TypeName: 東京メトロ 18000 系電車
18101: 18101, 18201, 18301, 18401, 18501, 18601, 18701, 18801, 18901, 18001
18102: 18102, 18202, 18302, 18402, 18502, 18602, 18702, 18802, 18902, 18002
18103: 18103, 18203, 18303, 18403, 18503, 18603, 18703, 18803, 18903, 18003
18104: 18104, 18204, 18304, 18404, 18504, 18604, 18704, 18804, 18904, 18004
18105: 18105, 18205, 18305, 18405, 18505, 18605, 18705, 18805, 18905, 18005
18106: 18106, 18206, 18306, 18406, 18506, 18606, 18706, 18806, 18906, 18006
18107: 18107, 18207, 18307, 18407, 18507, 18607, 18707, 18807, 18907, 18007
18108: 18108, 18208, 18308, 18408, 18508, 18608, 18708, 18808, 18908, 18008
18109: 18109, 18209, 18309, 18409, 18509, 18609, 18709, 18809, 18909, 18009
18110: 18110, 18210, 18310, 18410, 18510, 18610, 18710, 18810, 18910, 18010
18111: 18111, 18211, 18311, 18411, 18511, 18611, 18711, 18811, 18911, 18011

